slot,interval,plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
127,21:10-21:20,717.05486666666661,0,0,0,1200,1200,717.05486666666661,0,0,0.93710000000000004
128,21:20-21:30,720.44596666666666,0,0,0,1200,1200,720.44596666666666,0,0,0.93710000000000004
129,21:30-21:40,738.13471666666658,0,0,0,1200,1200,738.13471666666658,0,0,0.98709999999999998
130,21:40-21:50,671.69356666666658,0,0,0,1200,1200,671.69356666666658,0,0,0.77639999999999998
131,21:50-22:00,1393.7903166666665,833.33333333333326,0,0,1200,1950,560.45698333333326,0,0,0.4209
132,22:00-22:10,1384.8988999999999,833.33333333333326,0,0,1950,2700,551.56556666666665,0,0,0.38590000000000002
133,22:10-22:20,568.8260499999999,0,0,0,2700,2700,568.8260499999999,0,0,0.43680000000000002
134,22:20-22:30,1396.98855,833.33333333333326,0,0,2700,3450,563.65521666666666,0,0,0.41980000000000001
135,22:30-22:40,1397.7598666666665,833.33333333333326,0,0,3450,4200,564.42653333333328,0,0,0.41860000000000003
136,22:40-22:50,566.74743333333322,0,0,0,4200,4200,566.74743333333322,0,0,0.42409999999999998
137,22:50-23:00,1399.8737666666666,833.33333333333326,0,0,4200,4950,566.54043333333334,0,0,0.42370000000000002
138,23:00-23:10,567.83015,0,0,0,4950,4950,567.83015,0,0,0.42480000000000001
139,23:10-23:20,902.69196666666653,333.33333333333331,0,0,4950,5250,569.35863333333327,0,0,0.42399999999999999
140,23:20-23:30,1403.6635166666665,833.33333333333326,0,0,5250,6000,570.33018333333325,0,0,0.42199999999999999
141,23:30-23:40,571.61538333333328,0,0,0,6000,6000,571.61538333333328,0,0,0.42399999999999999
142,23:40-23:50,573.17683333333332,0,0,0,6000,6000,573.17683333333332,0,0,0.42709999999999998
143,23:50-24:00,574.12098333333324,0,0,0,6000,6000,574.12098333333324,0,0,0.42759999999999998
