plan_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,load_kwh,pv_kwh,emergency_kwh,price
1393.7903166666665,833.3333333333333,0.0,0.0,1200.0,1950.0,560.4569833333333,0.0,0.0,0.4209
1384.8989,833.3333333333333,0.0,0.0,1950.0,2700.0,551.5655666666667,0.0,0.0,0.3859
568.8260499999999,0.0,0.0,0.0,2700.0,2700.0,568.8260499999999,0.0,0.0,0.4368
1396.98855,833.3333333333333,0.0,0.0,2700.0,3450.0,563.6552166666667,0.0,0.0,0.4198
1397.7598666666665,833.3333333333333,0.0,0.0,3450.0,4200.0,564.4265333333333,0.0,0.0,0.4186
566.7474333333332,0.0,0.0,0.0,4200.0,4200.0,566.7474333333332,0.0,0.0,0.4241
1399.8737666666666,833.3333333333333,0.0,0.0,4200.0,4950.0,566.5404333333333,0.0,0.0,0.4237
567.83015,0.0,0.0,0.0,4950.0,4950.0,567.83015,0.0,0.0,0.4248
902.6919666666665,333.3333333333333,0.0,0.0,4950.0,5250.0,569.3586333333333,0.0,0.0,0.424
1403.6635166666665,833.3333333333333,0.0,0.0,5250.0,6000.0,570.3301833333333,0.0,0.0,0.422
571.6153833333333,0.0,0.0,0.0,6000.0,6000.0,571.6153833333333,0.0,0.0,0.424
573.1768333333333,0.0,0.0,0.0,6000.0,6000.0,573.1768333333333,0.0,0.0,0.4271
574.1209833333332,0.0,0.0,0.0,6000.0,6000.0,574.1209833333332,0.0,0.0,0.4276
